id,distance,order,condition,time,rt
20,1,mixed,letters,1,1707.110515
21,1,mixed,letters,1,1651.294161
22,1,mixed,letters,1,1509.5452
23,1,mixed,letters,1,1910.405736
24,1,mixed,letters,1,1646.4743
25,1,mixed,letters,1,1601.27736
26,1,mixed,letters,1,2009.737216
27,1,mixed,letters,1,1434.458527
28,1,mixed,letters,1,1274.469216
29,1,mixed,letters,1,1709.65511
30,1,mixed,letters,1,2034.855719
31,1,mixed,letters,1,1657.019619
32,1,mixed,letters,1,1893.128418
1,2,in,letters,1,1620.603857
2,2,in,letters,1,1952.254507
3,2,in,letters,1,1634.544218
4,2,in,letters,1,1815.592281
5,2,in,letters,1,1676.319848
6,2,in,letters,1,1200.893638
7,2,in,letters,1,2068.476239
8,2,in,letters,1,1417.760174
9,2,in,letters,1,1417.7915
10,2,in,letters,1,1874.895621
11,2,in,letters,1,1167.610983
12,2,in,letters,1,1267.673567
13,2,in,letters,1,1467.808988
14,2,in,letters,1,1592.940925
15,2,in,letters,1,1884.784227
16,2,in,letters,1,1267.690149
17,2,in,letters,1,1517.821943
18,2,in,letters,1,2013.559863
19,2,in,letters,1,2183.922008
20,2,in,letters,1,1673.520584
21,2,in,letters,1,1518.155538
22,2,in,letters,1,1684.619755
23,2,in,letters,1,1893.631338
24,2,in,letters,1,1559.789931
25,2,in,letters,1,1617.956734
26,2,in,letters,1,1826.387418
27,2,in,letters,1,1334.383575
28,2,in,letters,1,1383.190978
29,2,in,letters,1,1818.107329
30,2,in,letters,1,2268.417575
31,2,in,letters,1,1677.089942
32,2,in,letters,1,1868.163072
1,2,mixed,letters,1,1567.764561
2,2,mixed,letters,1,1961.424936
3,2,mixed,letters,1,1768.03664
4,2,mixed,letters,1,1805.153681
5,2,mixed,letters,1,1501.205896
6,2,mixed,letters,1,1376.038544
7,2,mixed,letters,1,2084.982914
8,2,mixed,letters,1,1484.424722
9,2,mixed,letters,1,1209.341
10,2,mixed,letters,1,2034.927835
11,2,mixed,letters,1,1451.179877
12,2,mixed,letters,1,1459.542548
13,2,mixed,letters,1,1517.847441
14,2,mixed,letters,1,1534.436095
15,2,mixed,letters,1,1709.74195
16,2,mixed,letters,1,1426.142107
17,2,mixed,letters,1,1434.493797
18,2,mixed,letters,1,1566.249795
19,2,mixed,letters,1,2130.003282
20,2,mixed,letters,1,1326.882635
21,2,mixed,letters,1,1618.059993
22,2,mixed,letters,1,1859.761682
23,2,mixed,letters,1,1924.672607
24,2,mixed,letters,1,1442.538533
25,2,mixed,letters,1,1484.489958
26,2,mixed,letters,1,1801.391027
27,2,mixed,letters,1,1426.177822
28,2,mixed,letters,1,1397.051331
29,2,mixed,letters,1,1667.77441
30,2,mixed,letters,1,1717.960972
31,2,mixed,letters,1,1777.986659
32,2,mixed,letters,1,1901.603926
1,3,in,letters,1,1357.561381
2,3,in,letters,1,1816.330527
3,3,in,letters,1,1367.885475
4,3,in,letters,1,1720.673458
5,3,in,letters,1,1584.502095
6,3,in,letters,1,1225.962698
7,3,in,letters,1,2168.520403
8,3,in,letters,1,1359.466436
9,3,in,letters,1,1434.4585
10,3,in,letters,1,1765.46861
11,3,in,letters,1,1309.33261
12,3,in,letters,1,1467.861877
13,3,in,letters,1,1542.885705
14,3,in,letters,1,1301.080901
15,3,in,letters,1,1617.912114
16,3,in,letters,1,1217.643088
17,3,in,letters,1,1534.506841
18,3,in,letters,1,1920.917369
19,3,in,letters,1,2025.364745
20,3,in,letters,1,1449.792297
21,3,in,letters,1,1551.268868
22,3,in,letters,1,1484.481437
23,3,in,letters,1,1805.777538
24,3,in,letters,1,1541.759021
25,3,in,letters,1,1451.130382
26,3,in,letters,1,1959.850207
27,3,in,letters,1,1392.759527
28,3,in,letters,1,1252.579678
29,3,in,letters,1,1809.670637
30,3,in,letters,1,2001.329221
31,3,in,letters,1,1864.052922
32,3,in,letters,1,1918.159646
1,3,mixed,letters,1,1521.187809
2,3,mixed,letters,1,1726.194237
3,3,mixed,letters,1,1384.414275
4,3,mixed,letters,1,1659.182
5,3,mixed,letters,1,1726.316769
6,3,mixed,letters,1,1175.957168
7,3,mixed,letters,1,1684.626656
8,3,mixed,letters,1,1209.279186
9,3,mixed,letters,1,1267.684
10,3,mixed,letters,1,1709.354506
11,3,mixed,letters,1,1217.63189
12,3,mixed,letters,1,1267.470956
13,3,mixed,letters,1,1409.433551
14,3,mixed,letters,1,1651.132232
15,3,mixed,letters,1,1768.025039
16,3,mixed,letters,1,1159.271348
17,3,mixed,letters,1,1701.285794
18,3,mixed,letters,1,1595.433792
19,3,mixed,letters,1,2290.311348
20,3,mixed,letters,1,1466.440207
21,3,mixed,letters,1,1300.960813
22,3,mixed,letters,1,1301.046225
23,3,mixed,letters,1,1704.361453
24,3,mixed,letters,1,1689.203673
25,3,mixed,letters,1,1409.436168
26,3,mixed,letters,1,1634.576981
27,3,mixed,letters,1,1351.053905
28,3,mixed,letters,1,1218.431445
29,3,mixed,letters,1,1659.6226
30,3,mixed,letters,1,2026.655104
31,3,mixed,letters,1,1632.229457
32,3,mixed,letters,1,1859.829759
1,1,in,numbers,2,759.0450275
2,1,in,numbers,2,884.0303965
3,1,in,numbers,2,876.390369
4,1,in,numbers,2,1084.238909
5,1,in,numbers,2,717.310266
6,1,in,numbers,2,633.91028
7,1,in,numbers,2,1517.843398
8,1,in,numbers,2,769.144436
9,1,in,numbers,2,800.633726
10,1,in,numbers,2,1050.891293
11,1,in,numbers,2,917.360356
12,1,in,numbers,2,1084.195148
13,1,in,numbers,2,809.0008495
14,1,in,numbers,2,700.7405285
15,1,in,numbers,2,767.2766775
16,1,in,numbers,2,700.6163745
17,1,in,numbers,2,1009.160008
18,1,in,numbers,2,1074.262261
19,1,in,numbers,2,1177.032129
20,1,in,numbers,2,1042.411664
21,1,in,numbers,2,1017.718144
22,1,in,numbers,2,825.7123855
23,1,in,numbers,2,763.5668465
24,1,in,numbers,2,859.0785645
25,1,in,numbers,2,1267.692419
26,1,in,numbers,2,917.482223
27,1,in,numbers,2,775.698826
28,1,in,numbers,2,867.184386
29,1,in,numbers,2,730.4019695
30,1,in,numbers,2,1301.051201
31,1,in,numbers,2,992.515997
32,1,in,numbers,2,600.5803255
1,1,mixed,numbers,2,867.46485
2,1,mixed,numbers,2,1292.655772
3,1,mixed,numbers,2,1064.885273
4,1,mixed,numbers,2,1467.810621
5,1,mixed,numbers,2,975.7858295
6,1,mixed,numbers,2,833.999436
7,1,mixed,numbers,2,1801.402377
8,1,mixed,numbers,2,901.912398
9,1,mixed,numbers,2,850.7511555
10,1,mixed,numbers,2,1868.116665
11,1,mixed,numbers,2,984.3377035
12,1,mixed,numbers,2,1384.456423
13,1,mixed,numbers,2,959.1216725
14,1,mixed,numbers,2,800.555264
15,1,mixed,numbers,2,984.1722325
16,1,mixed,numbers,2,775.773812
17,1,mixed,numbers,2,1225.939523
18,1,mixed,numbers,2,1315.143967
19,1,mixed,numbers,2,1366.782757
20,1,mixed,numbers,2,1234.359983
21,1,mixed,numbers,2,1234.138456
22,1,mixed,numbers,2,1051.29453
23,1,mixed,numbers,2,929.356092
24,1,mixed,numbers,2,1050.984812
25,1,mixed,numbers,2,1351.12499
26,1,mixed,numbers,2,1100.894311
27,1,mixed,numbers,2,900.723904
28,1,mixed,numbers,2,850.658455
29,1,mixed,numbers,2,949.5672595
30,1,mixed,numbers,2,1334.506742
31,1,mixed,numbers,2,1234.154347
32,1,mixed,numbers,2,775.67069
1,2,in,numbers,2,867.381421
2,2,in,numbers,2,934.021524
3,2,in,numbers,2,905.600983
4,2,in,numbers,2,1009.141725
5,2,in,numbers,2,784.016307
6,2,in,numbers,2,608.8324465
7,2,in,numbers,2,1251.090434
8,2,in,numbers,2,730.7801115
9,2,in,numbers,2,717.2815775
10,2,in,numbers,2,1184.266738
11,2,in,numbers,2,884.1793225
12,2,in,numbers,2,1100.895329
13,2,in,numbers,2,884.1316955
14,2,in,numbers,2,700.6172065
15,2,in,numbers,2,909.1344745
16,2,in,numbers,2,642.314553
17,2,in,numbers,2,1000.666098
18,2,in,numbers,2,1062.286677
19,2,in,numbers,2,1096.14206
20,2,in,numbers,2,984.165729
21,2,in,numbers,2,1050.843283
22,2,in,numbers,2,917.4233155
23,2,in,numbers,2,792.6871655
24,2,in,numbers,2,917.431627
25,2,in,numbers,2,1301.068327
26,2,in,numbers,2,783.816255
27,2,in,numbers,2,750.5836655
28,2,in,numbers,2,859.0739585
29,2,in,numbers,2,736.778682
30,2,in,numbers,2,1201.033522
31,2,in,numbers,2,1084.093895
32,2,in,numbers,2,558.786557
1,2,mixed,numbers,2,842.3043395
2,2,mixed,numbers,2,1117.809153
3,2,mixed,numbers,2,943.85532
4,2,mixed,numbers,2,1242.735751
5,2,mixed,numbers,2,950.7809135
6,2,mixed,numbers,2,750.642597
7,2,mixed,numbers,2,1392.833508
8,2,mixed,numbers,2,859.659087
9,2,mixed,numbers,2,884.053082
10,2,mixed,numbers,2,1534.5155
11,2,mixed,numbers,2,950.761712
12,2,mixed,numbers,2,1134.290726
13,2,mixed,numbers,2,800.811246
14,2,mixed,numbers,2,759.121861
15,2,mixed,numbers,2,892.381377
16,2,mixed,numbers,2,667.224951
17,2,mixed,numbers,2,1034.103429
18,2,mixed,numbers,2,1149.288065
19,2,mixed,numbers,2,1299.165754
20,2,mixed,numbers,2,1067.403909
21,2,mixed,numbers,2,1276.037915
22,2,mixed,numbers,2,1000.832297
23,2,mixed,numbers,2,860.18758
24,2,mixed,numbers,2,1050.870924
25,2,mixed,numbers,2,1251.076223
26,2,mixed,numbers,2,984.066078
27,2,mixed,numbers,2,758.9565995
28,2,mixed,numbers,2,775.6831855
29,2,mixed,numbers,2,851.487137
30,2,mixed,numbers,2,1209.262829
31,2,mixed,numbers,2,1250.93459
32,2,mixed,numbers,2,692.259115
1,3,in,numbers,2,800.6225405
2,3,in,numbers,2,867.380592
3,3,in,numbers,2,833.808632
4,3,in,numbers,2,1000.78413
5,3,in,numbers,2,783.930561
6,3,in,numbers,2,583.805101
7,3,in,numbers,2,1150.909013
8,3,in,numbers,2,798.8854175
9,3,in,numbers,2,725.564517
10,3,in,numbers,2,1276.010443
11,3,in,numbers,2,867.597993
12,3,in,numbers,2,1042.496671
13,3,in,numbers,2,875.733189
14,3,in,numbers,2,717.2458225
15,3,in,numbers,2,817.178086
16,3,in,numbers,2,700.580289
17,3,in,numbers,2,1017.495008
18,3,in,numbers,2,1002.143903
19,3,in,numbers,2,1089.913148
20,3,in,numbers,2,867.404538
21,3,in,numbers,2,1017.484414
22,3,in,numbers,2,850.937377
23,3,in,numbers,2,762.4390165
24,3,in,numbers,2,775.676066
25,3,in,numbers,2,1184.28385
26,3,in,numbers,2,817.340261
27,3,in,numbers,2,733.9359575
28,3,in,numbers,2,717.4482115
29,3,in,numbers,2,798.181049
30,3,in,numbers,2,1200.853422
31,3,in,numbers,2,925.712182
32,3,in,numbers,2,592.147082
1,3,mixed,numbers,2,783.911549
2,3,mixed,numbers,2,1000.772866
3,3,mixed,numbers,2,873.9325585
4,3,mixed,numbers,2,1109.238694
5,3,mixed,numbers,2,900.745589
6,3,mixed,numbers,2,717.2878105
7,3,mixed,numbers,2,1534.510037
8,3,mixed,numbers,2,772.890876
9,3,mixed,numbers,2,759.036446
10,3,mixed,numbers,2,1284.364534
11,3,mixed,numbers,2,934.10043
12,3,mixed,numbers,2,1150.902182
13,3,mixed,numbers,2,892.4070455
14,3,mixed,numbers,2,700.635746
15,3,mixed,numbers,2,792.347642
16,3,mixed,numbers,2,600.5099705
17,3,mixed,numbers,2,950.754095
18,3,mixed,numbers,2,1033.209369
19,3,mixed,numbers,2,1238.002261
20,3,mixed,numbers,2,984.114414
21,3,mixed,numbers,2,1042.509111
22,3,mixed,numbers,2,967.462282
23,3,mixed,numbers,2,790.0617215
24,3,mixed,numbers,2,959.113923
25,3,mixed,numbers,2,1159.286474
26,3,mixed,numbers,2,867.3787145
27,3,mixed,numbers,2,750.644747
28,3,mixed,numbers,2,717.254042
